Word,Frequency,Type
tonight,71,,(adverb, noun)
put,70,,(verb, noun)
common,69,,(adjective, noun)
set,69,,(verb, noun, adjective)
change,67,,(verb, noun)
simple,63,,(adjective, noun)
past,60,,(adjective, noun, preposition)
big,59,,(adjective, noun)
possible,59,,(adjective, noun)
particular,58,,(adjective, noun)
today,54,,(adverb, noun)
major,53,,(adjective, noun, verb)
personal,53,,(adjective, noun)
current,52,,(adjective, noun)
national,52,,(adjective, noun)
cut,50,,(verb, noun)
natural,50,,(adjective, noun, adverb)
physical,50,,(adjective, noun)
show,50,,(verb, noun)
try,50,,(verb, noun)
check,49,,(verb, noun, interjection)
second,49,,(number, noun)
call,47,,(verb, noun)
move,47,,(verb, noun)
pay,47,,(verb, noun)
let,46,,(verb, noun)
increase,45,,(verb, noun)
single,45,,(adjective, noun, verb)
individual,44,,(adjective, noun)
turn,44,,(verb, noun)
ask,42,,(verb, noun)
buy,42,,(verb, noun)
guard,42,,(verb, noun)
hold,42,,(verb, noun)
main,42,,(adjective, noun)
offer,42,,(verb, noun)
potential,42,,(adjective, noun)
professional,42,,(adjective, noun)
international,41,,(adjective, noun)
travel,41,,(verb, noun)
cook,40,,(verb, noun)
alternative,39,,(adjective, noun)
following,39,,(preposition, noun, adjective)
special,39,,(adjective, noun)
working,39,,(adjective, noun)
whole,38,,(adjective, noun, adverb)
dance,37,,(verb, noun)
excuse,37,,(verb, noun)
cold,34,,(adjective, noun, adverb)
commercial,34,,(adjective, noun)
low,34,,(adjective, noun, adverb)
purchase,34,,(verb, noun)
deal,33,,(verb, noun)
primary,33,,(adjective, noun)
worth,33,,(adjective, noun)
fall,32,,(verb, noun)
necessary,31,,(adjective, noun)
positive,31,,(adjective, noun)
produce,31,,(verb, noun)
search,31,,(verb, noun)
present,30,,(adjective, noun, verb)
spend,30,,(verb, noun)
talk,30,,(verb, noun)
creative,29,,(adjective, noun)
tell,29,,(verb, noun)
cost,28,,(verb, noun)
drive,28,,(verb, noun)
green,28,,(adjective, noun, verb)
support,28,,(verb, noun)
glad,27,,(adjective, noun)
remove,27,,(verb, noun)
return,27,,(verb, noun)
run,27,,(verb, noun)
complex,26,,(adjective, noun, verb)
due,26,,(adjective, noun, adverb)
effective,26,,(adjective, noun)
middle,26,,(adjective, noun)
regular,26,,(adjective, noun)
reserve,26,,(verb, noun)
independent,25,,(adjective, noun)
leave,25,,(verb, noun)
original,25,,(adjective, noun)
reach,25,,(verb, noun)
rest,25,,(verb, noun)
serve,25,,(verb, noun)
watch,25,,(verb, noun)
beautiful,24,,(adjective, noun, interjection)
charge,24,,(verb, noun)
active,23,,(adjective, noun)
break,23,,(verb, noun)
negative,23,,(adjective, noun, interjection)
safe,23,,(adjective, noun)
stay,23,,(verb, noun)
visit,23,,(verb, noun)
visual,23,,(adjective, noun)
affect,22,,(verb, noun)
cover,22,,(verb, noun)
report,22,,(verb, noun)
rise,22,,(verb, noun)
walk,21,,(verb, noun)
white,21,,(adjective, noun, verb)
beyond,20,,(preposition, noun)
junior,20,,(adjective, noun)
pick,20,,(verb, noun)
unique,20,,(adjective, noun)
anything,19,,(pronoun, noun, adverb)
classic,19,,(adjective, noun)
final,19,,(adjective, noun)
lift,19,,(verb, noun)
mix,19,,(verb, noun)
private,19,,(adjective, noun)
stop,19,,(verb, noun)
teach,19,,(verb, noun)
western,19,,(adjective, noun)
concern,18,,(verb, noun)
familiar,18,,(adjective, noun)
fly,18,,(verb, noun)
official,18,,(adjective, noun)
broad,17,,(adjective, noun)
comfortable,17,,(adjective, noun)
gain,17,,(verb, noun)
maybe,17,,(adverb, noun)
rich,17,,(adjective, noun)
save,17,,(verb, noun, preposition)
stand,17,,(verb, noun)
young,17,,(adjective, noun)
fail,16,,(verb, noun)
heavy,16,,(adjective, noun, adverb)
hello,16,,(interjection, noun)
lead,16,,(verb, noun)
listen,16,,(verb, noun)
valuable,16,,(adjective, noun)
worry,16,,(verb, noun)
handle,15,,(verb, noun)
leading,15,,(adjective, noun)
meet,15,,(verb, noun)
release,15,,(verb, noun)
sell,15,,(verb, noun)
finish,14,,(verb, noun)
normal,14,,(adjective, noun)
press,14,,(verb, noun)
ride,14,,(verb, noun)
secret,14,,(adjective, noun)
spread,14,,(verb, noun)
spring,14,,(verb, noun)
tough,14,,(adjective, noun)
wait,14,,(verb, noun)
brown,13,,(adjective, noun, verb)
deep,13,,(adjective, noun, adverb)
display,13,,(verb, noun)
flow,13,,(verb, noun)
hit,13,,(verb, noun)
objective,13,,(adjective, noun)
shoot,13,,(verb, noun, interjection)
touch,13,,(verb, noun)
cancel,12,,(verb, noun)
chemical,12,,(adjective, noun)
cry,12,,(verb, noun, idiom)
dump,12,,(verb, noun, idiom)
extreme,12,,(adjective, noun)
push,12,,(verb, noun, idiom)
conflict,11,,(verb, noun)
eat,11,,(verb, noun, idiom)
fill,11,,(verb, noun, idiom)
formal,11,,(adjective, noun, adverb)
jump,11,,(verb, noun, adjective)
kick,11,,(verb, noun, idiom)
opposite,11,,(adjective, noun, preposition)
pass,11,,(verb, noun, idiom)
pitch,11,,(verb, noun)
remote,11,,(adjective, noun)
total,11,,(adjective, noun, verb)
treat,11,,(verb, noun)
vast,11,,(adjective, noun)
abuse,10,,(verb, noun)
beat,10,,(verb, noun, adjective)
burn,10,,(verb, noun)
deposit,10,,(verb, noun)
print,10,,(verb, noun, adjective)
raise,10,,(verb, noun, idiom)
sleep,10,,(verb, noun, idiom)
somewhere,10,,(adverb, noun)
advance,9,,(verb, noun, adjective)
anywhere,9,,(adverb, noun)
consist,9,,(verb, noun)
dark,9,,(adjective, noun, idiom)
double,9,,(adjective, noun, verb)
draw,9,,(verb, noun, idiom)
equal,9,,(adjective, noun, verb)
fix,9,,(verb, noun, idiom)
hire,9,,(verb, noun, adjective)
internal,9,,(adjective, noun)
join,9,,(verb, noun)
kill,9,,(verb, noun, idiom)
sensitive,9,,(adjective, noun)
tap,9,,(verb, noun)
win,9,,(verb, noun)
attack,8,,(verb, noun)
claim,8,,(verb, noun)
constant,8,,(adjective, noun)
drag,8,,(verb, noun, adjective)
drink,8,,(verb, noun)
guess,8,,(verb, noun, idiom)
minor,8,,(adjective, noun, verb)
pull,8,,(verb, noun)
raw,8,,(adjective, noun, idiom)
soft,8,,(adjective, noun, adverb)
solid,8,,(adjective, noun)
wear,8,,(verb, noun, idiom)
weird,8,,(adjective, noun)
wonder,8,,(verb, noun, idiom)
annual,7,,(adjective, noun)
count,7,,(verb, noun, adjective)
dead,7,,(adjective, noun, adverb)
doubt,7,,(verb, noun, idiom)
feed,7,,(verb, noun, idiom)
forever,7,,(adverb, noun, idiom)
impress,7,,(verb, noun)
nobody,7,,(pronoun, noun)
repeat,7,,(verb, noun)
round,7,,(adjective, noun, adverb)
sing,7,,(verb, noun)
slide,7,,(verb, noun, idiom)
strip,7,,(verb, noun)
whereas,7,,(conjunction, noun)
wish,7,,(verb, noun)
combine,6,,(verb, noun)
command,6,,(verb, noun)
dig,6,,(verb, noun)
divide,6,,(verb, noun)
equivalent,6,,(adjective, noun)
hang,6,,(verb, noun, idiom)
hunt,6,,(verb, noun)
initial,6,,(adjective, noun, verb)
march,6,,(verb, noun, idiom)
mention,6,,(verb, noun, idiom)
smell,6,,(verb, noun)
spiritual,6,,(adjective, noun)
survey,6,,(verb, noun)
tie,6,,(verb, noun, idiom)
adult,5,,(adjective, noun)
brief,5,,(adjective, noun, verb)
crazy,5,,(adjective, noun, idiom)
escape,5,,(verb, noun, adjective)
gather,5,,(verb, noun, idiom)
hate,5,,(verb, noun)
prior,5,,(adjective, noun, idiom)
repair,5,,(verb, noun)
rough,5,,(adjective, noun, adverb)
sad,5,,(adjective, noun)
scratch,5,,(verb, noun, adjective)
sick,5,,(adjective, noun, idiom)
strike,5,,(verb, noun, adjective)
employ,4,,(verb, noun)
external,4,,(adjective, noun)
hurt,4,,(verb, noun)
illegal,4,,(adjective, noun)
laugh,4,,(verb, noun)
lay,4,,(verb, noun, adjective)
mobile,4,,(adjective, noun)
nasty,4,,(adjective, noun)
ordinary,4,,(adjective, noun)
respond,4,,(verb, noun)
royal,4,,(adjective, noun)
senior,4,,(adjective, noun)
split,4,,(verb, noun)
strain,4,,(verb, noun)
struggle,4,,(verb, noun)
swim,4,,(verb, noun)
train,4,,(verb, noun)
upper,4,,(adjective, noun)
wash,4,,(verb, noun)
yellow,4,,(adjective, noun, verb)
convert,3,,(verb, noun)
crash,3,,(verb, noun, adjective)
dependent,3,,(adjective, noun)
fold,3,,(verb, noun)
funny,3,,(adjective, noun)
grab,3,,(verb, noun)
hide,3,,(verb, noun)
miss,3,,(verb, noun)
permit,3,,(verb, noun)
quote,3,,(verb, noun)
recover,3,,(verb, noun)
resolve,3,,(verb, noun)
roll,3,,(verb, noun)
sink,3,,(verb, noun)
slip,3,,(verb, noun)
spare,3,,(adjective, noun, verb)
suspect,3,,(verb, noun, adjective)
sweet,3,,(adjective, noun)
swing,3,,(verb, noun)
twist,3,,(verb, noun)
upstairs,3,,(adjective, noun)
usual,3,,(adjective, noun)
abroad,2,,(adverb, noun)
brave,2,,(adjective, noun, verb)
calm,2,,(adjective, noun, verb)
concentrate,2,,(verb, noun)
estimate,2,,(verb, noun)
grand,2,,(adjective, noun)
male,2,,(adjective, noun)
mine,2,,(pronoun, noun, verb)
prompt,2,,(verb, noun, adjective)
quiet,2,,(adjective, noun, verb)
refuse,2,,(verb, noun)
regret,2,,(verb, noun)
reveal,2,,(verb, noun)
rush,2,,(verb, noun)
shake,2,,(verb, noun)
shift,2,,(verb, noun)
shine,2,,(verb, noun)
steal,2,,(verb, noun)
suck,2,,(verb, noun)
surround,2,,(verb, noun)
anybody,1,,(pronoun, noun)
bear,1,,(verb, noun)
brilliant,1,,(adjective, noun)
dare,1,,(verb, noun)
dear,1,,(adjective, noun, adverb)
delay,1,,(verb, noun)
drunk,1,,(adjective, noun)
female,1,,(adjective, noun)
hurry,1,,(verb, noun)
inevitable,1,,(adjective, noun)
invite,1,,(verb, noun)
kiss,1,,(verb, noun)
neat,1,,(adjective, noun)
pop,1,,(verb, noun, adverb)
punch,1,,(verb, noun)
quit,1,,(verb, noun)
reply,1,,(verb, noun)
representative,1,,(adjective, noun)
resist,1,,(verb, noun)
rip,1,,(verb, noun)
rub,1,,(verb, noun)
silly,1,,(adjective, noun)
smile,1,,(verb, noun)
spell,1,,(verb, noun)
stretch,1,,(verb, noun)
stupid,1,,(adjective, noun)
tear,1,,(verb, noun)
temporary,1,,(adjective, noun)
tomorrow,1,,(adverb, noun)
wake,1,,(verb, noun)
wrap,1,,(verb, noun)
yesterday,1,,(adverb, noun)
